id;approved;name;type;lat;lng;address;uri;descripcion;schoolType;phone;fax;postalCode
1;;Escolas dels encants;Preschool;;;Consell de Cent, 558-560,Barcelona;;;Public;;;8020
2;;Escola Pia Olot;Multi-level;;;Plaza Clara, 9,Olot, Girona;http://olot.escolapia.cat/;;Private;972 26 02 12;;17800
3;;Escola Mata de Jonc;Multi-level;;;Son Espanyolet, 49,Palma de Mallorca;http://www.matadejonc.cat/;;Charter;971 73 66 77;971283952;7014
4;;Escola Mata de Jonc;Multi-level;;;Son Espanyolet, 49,Palma de Mallorca;http://www.matadejonc.cat/;;Charter;971 73 66 77;971283952;7014
5;;Escola Martinet;Multi-level;;;Martinet, 1,Cornella de Llobregat, Barcelona;http://agora.xtec.cat/escolamartinet/;;Private;933 77 67 54;;8940
6;;ESCOLA LHORITZo;Multi-level;;;Passeig de la Bonanova 7,Barcelona;;;Private - Religious Affiliation;;;8022
7;;Escola Guerau de Peguera;Primary (Elementary School);;;Escoles, ,Barcelona, Torrelles de Foix;;;Public;93 897 13 77;;8737
8;;Escola Garbi Pere vergues;Unknown;;;Avinguda de les Palmeres, 5,Badalona, Barcelona;;;Charter;;;8916
;;Escola Epiqueia;Multi-level;;;Sant Joan de Mediona, Alt Penedès, Giron;;;Public;659 36 10 45;;
;;Escola Elisabeth;Multi-level;;;Carrer Miquel Marti i Pol, 1,Tarragona, Salou;;;Private;977 38 38 51;977 38 33 30;43840
;;Escola Congres Indians;Primary (Elementary School);;;Acores, 1-3,Barcelona;http://escolacongresindians.com/;;Public;933 400 975;;8027
;;El Dragon;Unknown;;;Torrelodones, Madrid;;;Public;;;
;;EEI Zofio;Unknown;;;Madrid;;;Public;;;
;;CRA Entre dos rios Segovia;Multi-level;;;Segovia;;;Public;;;
;;CRA Alta Ribagorza;Primary (Elementary School);;;Huesca;;;Public;;;
;;CPI Castroverde Publico Lugo;Multi-level;;;Lugo;;;Public;;;
;;CPI Castroverde;Multi-level;;;Dos nenos,Castroverde, Lugo;;;Public;;;27120
;;CPI Castroverde;Multi-level;;;Dos nenos,Castroverde, Lugo;;;Public;;;27120
;;CP Principe Felipe;Primary (Elementary School);;;Avda. Monforte de Lemos 24Madrid;;;Public;913 14 68 19;913232548;28029
;;C.P Buztintxuri I.P.;Multi-level;;; Victor Eusa 1,Pamplona;http://cpbuztintxuri.educacion.navarra.es/;;Public;;;31012
;;CP Alvara Alvarez;Primary (Elementary School);;;Navarra, Falces;;;Public;;;
;;Colegios SEK;Unknown;;;Unknown;;;Private;;;
